Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-08,NESTLEIND,EQ,2512.95,2555.0,2575.0,2475.2,2476.0,2494.65,2529.81,648,163931630000.0,,438,0.6759000000000001
2010-01-11,NESTLEIND,EQ,2494.65,2401.0,2515.0,2400.0,2500.0,2498.95,2494.44,825,205790905000.0,,638,0.7733
2010-01-12,NESTLEIND,EQ,2498.95,2540.0,2540.0,2471.35,2505.0,2502.85,2485.22,68346,16985494094999.998,,67695,0.9905
2010-01-13,NESTLEIND,EQ,2502.85,2502.85,2540.0,2480.0,2489.8,2489.35,2491.94,1032,257168240000.0,,718,0.6957
2010-01-14,NESTLEIND,EQ,2489.35,2535.0,2595.0,2470.0,2560.0,2568.2,2510.27,330361,82929564305000.0,,329193,0.9965
2010-01-15,NESTLEIND,EQ,2568.2,2580.0,2580.0,2500.05,2524.8,2513.5,2548.35,8229,2097037285000.0002,,7303,0.8875000000000001
2010-01-18,NESTLEIND,EQ,2513.5,2574.0,2574.0,2514.0,2542.05,2536.15,2534.76,883,223818890000.0,,689,0.7803
2010-01-19,NESTLEIND,EQ,2536.15,2567.0,2570.0,2531.0,2550.0,2556.1,2558.84,688,176048160000.0,,432,0.6279
2010-01-20,NESTLEIND,EQ,2556.1,2550.0,2575.0,2540.0,2541.0,2542.5,2552.32,641,163603850000.0,,549,0.8565
2010-01-21,NESTLEIND,EQ,2542.5,2539.9,2569.0,2499.9,2512.05,2526.2,2538.36,831,210938015000.0,,623,0.7497
2010-01-22,NESTLEIND,EQ,2526.2,2500.0,2530.0,2478.0,2530.0,2529.0,2516.42,681,171368040000.0,,357,0.5242
2010-01-25,NESTLEIND,EQ,2529.0,2665.35,2665.35,2510.0,2520.0,2522.25,2528.68,1955,494357670000.0,,846,0.43270000000000003
2010-01-27,NESTLEIND,EQ,2522.25,2570.0,2574.9,2498.6,2535.15,2566.9,2547.51,5302,1350687255000.0,,3898,0.7352
2010-01-28,NESTLEIND,EQ,2566.9,2568.0,2610.0,2535.5,2575.0,2586.85,2570.33,1048,269370200000.0,,750,0.7156
2010-01-29,NESTLEIND,EQ,2586.85,2526.0,2580.0,2526.0,2533.0,2533.0,2556.08,787,201163400000.0,,474,0.6023
2010-02-01,NESTLEIND,EQ,2533.0,2599.95,2599.95,2515.1,2532.2,2532.2,2546.42,614,156350270000.0,,354,0.5765
2010-02-02,NESTLEIND,EQ,2532.2,2599.1,2599.1,2540.0,2540.0,2560.1,2565.58,831,213199590000.0,,607,0.7304
2010-02-03,NESTLEIND,EQ,2560.1,2588.0,2600.0,2556.0,2560.0,2564.6,2579.62,8681,2239370050000.0,,8457,0.9742000000000001
2010-02-04,NESTLEIND,EQ,2564.6,2548.0,2583.8,2548.0,2582.0,2568.35,2566.97,442,113460200000.0,,362,0.8190000000000001
2010-02-05,NESTLEIND,EQ,2568.35,2582.0,2582.0,2442.0,2541.0,2549.1,2543.23,1651,419886484999.99994,,1017,0.616
2010-02-06,NESTLEIND,EQ,2549.1,2455.0,2572.9,2455.0,2572.9,2566.4,2538.32,33,8376445000.0,,32,0.9697
2010-02-08,NESTLEIND,EQ,2566.4,2570.0,2672.0,2570.0,2671.95,2645.5,2642.09,8181,2161489985000.0002,,5288,0.6464
2010-02-09,NESTLEIND,EQ,2645.5,2600.1,2824.0,2600.1,2805.0,2792.6,2743.1,8861,2430657515000.0,,4089,0.4615
2010-02-10,NESTLEIND,EQ,2792.6,2802.0,3244.0,2738.6,2740.0,2750.2,2797.05,44699,12502552875000.0,,28613,0.6401000000000001
2010-02-11,NESTLEIND,EQ,2750.2,2819.0,2819.0,2726.1,2737.0,2737.25,2764.79,31881,8814429315000.0,,28543,0.8953
2010-02-15,NESTLEIND,EQ,2737.25,2815.0,2815.0,2614.0,2720.0,2719.25,2722.1,4504,1226032920000.0,,2417,0.5366
2010-02-16,NESTLEIND,EQ,2719.25,2792.0,2814.7,2697.05,2701.0,2701.85,2717.01,6120,1662810230000.0,,5057,0.8262999999999999
2010-02-17,NESTLEIND,EQ,2701.85,2705.15,2743.0,2681.4,2685.0,2688.75,2709.8,9981,2704647340000.0,,9134,0.9151
2010-02-18,NESTLEIND,EQ,2688.75,2688.75,2710.0,2645.0,2650.0,2651.5,2670.95,2203,588410585000.0,,1274,0.5783
2010-02-19,NESTLEIND,EQ,2651.5,2650.0,2685.0,2628.0,2640.0,2640.15,2644.35,7495,1981938139999.9998,,5899,0.7870999999999999
2010-02-22,NESTLEIND,EQ,2640.15,2625.05,2649.0,2560.0,2560.0,2584.9,2594.12,14820,3844487460000.0,,7912,0.5339
2010-02-23,NESTLEIND,EQ,2584.9,2570.0,2590.0,2551.0,2551.0,2552.2,2565.98,3070,787755640000.0,,1834,0.5974
2010-02-24,NESTLEIND,EQ,2552.2,2550.0,2590.0,2540.0,2567.0,2574.7,2551.35,9918,2530426165000.0,,9045,0.912
2010-02-25,NESTLEIND,EQ,2574.7,2580.0,2600.0,2552.1,2553.1,2559.6,2562.04,4264,1092453760000.0,,3601,0.8445
2010-02-26,NESTLEIND,EQ,2559.6,2526.1,2650.0,2526.1,2620.15,2626.9,2615.12,4239,1108547485000.0,,3115,0.7348
2010-03-02,NESTLEIND,EQ,2626.9,2620.0,2645.0,2600.0,2625.0,2625.45,2617.48,3343,875025225000.0,,1940,0.5803
2010-03-03,NESTLEIND,EQ,2625.45,2630.0,2640.0,2604.65,2628.0,2629.15,2622.46,2339,613392980000.0,,1364,0.5832
2010-03-04,NESTLEIND,EQ,2629.15,2610.0,2650.0,2610.0,2630.5,2634.0,2627.03,4796,1259922330000.0,,3160,0.6589
2010-03-05,NESTLEIND,EQ,2634.0,2670.0,2719.8,2670.0,2677.0,2701.15,2701.91,14392,3888589054999.9995,,11001,0.7644
2010-03-08,NESTLEIND,EQ,2701.15,2730.0,2750.0,2692.25,2750.0,2725.95,2711.8,9767,2648616575000.0,,6920,0.7084999999999999
2010-03-09,NESTLEIND,EQ,2725.95,2700.0,2751.0,2700.0,2730.25,2745.2,2724.87,4212,1147715740000.0,,3191,0.7576
2010-03-10,NESTLEIND,EQ,2745.2,2721.0,2765.0,2721.0,2721.0,2739.95,2737.21,8386,2295422940000.0,,7374,0.8793000000000001
2010-03-11,NESTLEIND,EQ,2739.95,2725.0,2740.0,2695.0,2710.0,2732.75,2732.98,27712,7573631240000.001,,26611,0.9603
